,name,price,description
50,"<div class=""_4rR01T"">realme Narzo 20 Pro (Black Ninja, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹13,999</div>",
51,"<div class=""_4rR01T"">POCO C3 (Matte Black, 32 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹7,499</div>",
52,"<div class=""_4rR01T"">POCO X3 (Cobalt Blue, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹16,999</div>",
53,"<div class=""_4rR01T"">SAMSUNG Galaxy A12 (Blue, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹12,899</div>",
54,"<div class=""_4rR01T"">POCO C3 (Lime Green, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹8,499</div>",
55,"<div class=""_4rR01T"">realme Narzo 30A (Laser Blue, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>",
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,"<div class=""_4rR01T"">OPPO F19 Pro (Fluid Black, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹21,490</div>",
63,"<div class=""_4rR01T"">POCO M2 Pro (Green and Greener, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>",
64,"<div class=""_4rR01T"">realme Narzo 30 Pro 5G (Blade Silver, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹19,999</div>",
65,"<div class=""_4rR01T"">SAMSUNG Galaxy A12 (White, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>",
66,"<div class=""_4rR01T"">OPPO A12 (Deep Blue, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹9,990</div>",
67,"<div class=""_4rR01T"">LAVA A3</div>","<div class=""_30jeq3 _1_WHN1"">₹1,073</div>",
68,"<div class=""_4rR01T"">LAVA A3</div>","<div class=""_30jeq3 _1_WHN1"">₹1,073</div>",
69,"<div class=""_4rR01T"">LAVA Flip</div>","<div class=""_30jeq3 _1_WHN1"">₹1,683</div>",
70,"<div class=""_4rR01T"">ViVO Y12s (Glacier Blue, 32 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹9,990</div>",
71,"<div class=""_4rR01T"">SAMSUNG Galaxy A12 (Black, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹13,999</div>",
72,"<div class=""_4rR01T"">GFive A2</div>","<div class=""_30jeq3 _1_WHN1"">₹699</div>",
73,"<div class=""_4rR01T"">Tecno Camon 15 (SHOAL GOLD, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>",
74,"<div class=""_4rR01T"">Tecno Camon 15 (Fascinating Purple, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>",
75,"<div class=""_4rR01T"">SAMSUNG Galaxy A12 (White, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹13,999</div>",
76,"<div class=""_4rR01T"">POCO M2 Pro (Two Shades of Black, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>",
77,"<div class=""_4rR01T"">Tecno Spark Go 2020 (Aqua Blue, 32 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹6,999</div>",
78,"<div class=""_4rR01T"">Tecno Spark Go 2020 (Mystery White, 32 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹6,999</div>",
79,"<div class=""_4rR01T"">ViVO Y51A (Crystal Symphony, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹17,990</div>",
80,"<div class=""_4rR01T"">MOTOROLA E7 Power (Tahiti Blue, 32 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹7,499</div>",
81,"<div class=""_4rR01T"">SAMSUNG Galaxy A12 (Black, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>",
82,"<div class=""_4rR01T"">SAMSUNG Guru 1200</div>","<div class=""_30jeq3 _1_WHN1"">₹1,314</div>",
83,"<div class=""_4rR01T"">MOTOROLA E7 Power (Coral Red, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹8,299</div>",
84,"<div class=""_4rR01T"">SAMSUNG Guru 1200</div>","<div class=""_30jeq3 _1_WHN1"">₹1,306</div>",
85,"<div class=""_4rR01T"">SAMSUNG Galaxy A12 (Blue, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹12,899</div>",
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,"<div class=""_4rR01T"">SAMSUNG Guru FM Plus SM-B110E/D</div>","<div class=""_30jeq3 _1_WHN1"">₹1,449</div>",
93,"<div class=""_4rR01T"">SAMSUNG Galaxy A12 (White, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>",
94,"<div class=""_4rR01T"">Kechaoda K10</div>","<div class=""_30jeq3 _1_WHN1"">₹859</div>",
95,"<div class=""_4rR01T"">KARBONN KX3</div>","<div class=""_30jeq3 _1_WHN1"">₹849</div>",
96,"<div class=""_4rR01T"">Micromax X741</div>","<div class=""_30jeq3 _1_WHN1"">₹1,212</div>",
97,"<div class=""_4rR01T"">MOTOROLA E7 Plus (Misty Blue, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹9,499</div>",
98,"<div class=""_4rR01T"">Nokia 105 DS 2020</div>","<div class=""_30jeq3 _1_WHN1"">₹1,300</div>",
99,"<div class=""_4rR01T"">SAMSUNG Galaxy A12 (Black, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹13,999</div>",
100,"<div class=""_4rR01T"">Redmi 8A Dual (Sky White, 32 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹8,999</div>",
101,"<div class=""_4rR01T"">Micromax X378</div>","<div class=""_30jeq3 _1_WHN1"">₹845</div>",
102,"<div class=""_4rR01T"">Micromax X378</div>","<div class=""_30jeq3 _1_WHN1"">₹834</div>",
103,"<div class=""_4rR01T"">SAMSUNG Galaxy A12 (White, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹13,999</div>",
104,"<div class=""_4rR01T"">ViVO Y30 (Dazzle Blue, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹14,990</div>",
105,"<div class=""_4rR01T"">GFive A2</div>","<div class=""_30jeq3 _1_WHN1"">₹659</div>",
106,"<div class=""_4rR01T"">Redmi 9A (Midnight Black, 32 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹7,220</div>",
107,"<div class=""_4rR01T"">REDMI 9 Power (Fiery Red, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>",
108,"<div class=""_4rR01T"">OPPO A33 (Mint Cream, 32 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹10,990</div>",
109,"<div class=""_4rR01T"">SAMSUNG Galaxy A12 (Black, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>",
110,"<div class=""_4rR01T"">LAVA GEM</div>","<div class=""_30jeq3 _1_WHN1"">₹1,577</div>",
111,"<div class=""_4rR01T"">Nokia 110 DS 2020</div>","<div class=""_30jeq3 _1_WHN1"">₹1,574</div>",
112,"<div class=""_4rR01T"">Micromax X817</div>","<div class=""_30jeq3 _1_WHN1"">₹1,485</div>",
113,"<div class=""_4rR01T"">SAMSUNG Galaxy A12 (Blue, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹12,899</div>",
114,"<div class=""_4rR01T"">Itel Ace</div>","<div class=""_30jeq3 _1_WHN1"">₹780</div>",
115,"<div class=""_4rR01T"">Itel Ace</div>","<div class=""_30jeq3 _1_WHN1"">₹760</div>",
116,,,
117,,,
118,,,
119,,,
